Notes,ValidationRule,organisation_id,subsidiary_id,organisation_size,submission_period,packaging_activity,packaging_type,packaging_class,packaging_material,packaging_material_subtype,from_country,to_country,packaging_material_weight,packaging_material_units,Issue type,ErrorCode,ErrorMessage,ErrorMessageWelsh
,PackType_OW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,OW,P5,GL,,EN,,101,,Error/Gwall,30,Packaging type is self-managed organisation waste (OW) so packaging class can only be organisation waste - origin (O2),"Gwastraff sefydliad hunan-reoledig (OW) yw'r math o becynwaith, felly gwastraff sefydliad - tarddiad (O2) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_OW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,OW,P6,GL,,EN,,101,,Error/Gwall,30,Packaging type is self-managed organisation waste (OW) so packaging class can only be organisation waste - origin (O2),"Gwastraff sefydliad hunan-reoledig (OW) yw'r math o becynwaith, felly gwastraff sefydliad - tarddiad (O2) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_OW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,OW,O1,GL,,EN,,101,,Error/Gwall,30,Packaging type is self-managed organisation waste (OW) so packaging class can only be organisation waste - origin (O2),"Gwastraff sefydliad hunan-reoledig (OW) yw'r math o becynwaith, felly gwastraff sefydliad - tarddiad (O2) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_OW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,OW,B1,GL,,EN,,101,,Error/Gwall,30,Packaging type is self-managed organisation waste (OW) so packaging class can only be organisation waste - origin (O2),"Gwastraff sefydliad hunan-reoledig (OW) yw'r math o becynwaith, felly gwastraff sefydliad - tarddiad (O2) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_OW&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|B1|null),org_id_placeholder,ABC123456,L,2023-P2,,OW,,GL,,EN,,101,,Error/Gwall,30,Packaging type is self-managed organisation waste (OW) so packaging class can only be organisation waste - origin (O2),"Gwastraff sefydliad hunan-reoledig (OW) yw'r math o becynwaith, felly gwastraff sefydliad - tarddiad (O2) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_HH&PackClass_invalid(P2|P4|P5|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SO,HH,P2,GL,,,,101,,Error/Gwall,31,"Packaging type is household packaging (HH) so packaging class can only be one of primary packaging (P1), shipment packaging (P3) or online marketplace total (P6)","Pecynwaith cartref (HH) yw'r math o becynwaith, felly un o blith pecynwaith sylfaenol (P1), pecynwaith cludo (P3) neu gyfanswm y farchnad ar-lein (P6) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_HH&PackClass_invalid(P2|P4|P5|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,PF,HH,P4,GL,,,,101,,Error/Gwall,31,"Packaging type is household packaging (HH) so packaging class can only be one of primary packaging (P1), shipment packaging (P3) or online marketplace total (P6)","Pecynwaith cartref (HH) yw'r math o becynwaith, felly un o blith pecynwaith sylfaenol (P1), pecynwaith cludo (P3) neu gyfanswm y farchnad ar-lein (P6) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_HH&PackClass_invalid(P2|P4|P5|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,IM,HH,P5,GL,,,,101,,Error/Gwall,31,"Packaging type is household packaging (HH) so packaging class can only be one of primary packaging (P1), shipment packaging (P3) or online marketplace total (P6)","Pecynwaith cartref (HH) yw'r math o becynwaith, felly un o blith pecynwaith sylfaenol (P1), pecynwaith cludo (P3) neu gyfanswm y farchnad ar-lein (P6) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_HH&PackClass_invalid(P2|P4|P5|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SE,HH,P6,GL,,,,101,,Error/Gwall,31,"Packaging type is household packaging (HH) so packaging class can only be one of primary packaging (P1), shipment packaging (P3) or online marketplace total (P6)","Pecynwaith cartref (HH) yw'r math o becynwaith, felly un o blith pecynwaith sylfaenol (P1), pecynwaith cludo (P3) neu gyfanswm y farchnad ar-lein (P6) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_HH&PackClass_invalid(P2|P4|P5|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,HL,HH,O1,GL,,,,101,,Error/Gwall,31,"Packaging type is household packaging (HH) so packaging class can only be one of primary packaging (P1), shipment packaging (P3) or online marketplace total (P6)","Pecynwaith cartref (HH) yw'r math o becynwaith, felly un o blith pecynwaith sylfaenol (P1), pecynwaith cludo (P3) neu gyfanswm y farchnad ar-lein (P6) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_HH&PackClass_invalid(P2|P4|P5|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,HL,HH,O2,GL,,,,101,,Error/Gwall,31,"Packaging type is household packaging (HH) so packaging class can only be one of primary packaging (P1), shipment packaging (P3) or online marketplace total (P6)","Pecynwaith cartref (HH) yw'r math o becynwaith, felly un o blith pecynwaith sylfaenol (P1), pecynwaith cludo (P3) neu gyfanswm y farchnad ar-lein (P6) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_HH&PackClass_invalid(P2|P4|P5|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,IM,HH,B1,GL,,,,101,,Error/Gwall,31,"Packaging type is household packaging (HH) so packaging class can only be one of primary packaging (P1), shipment packaging (P3) or online marketplace total (P6)","Pecynwaith cartref (HH) yw'r math o becynwaith, felly un o blith pecynwaith sylfaenol (P1), pecynwaith cludo (P3) neu gyfanswm y farchnad ar-lein (P6) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_HH&PackClass_invalid(P2|P4|P5|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SO,HH,,GL,,,,101,,Error/Gwall,31,"Packaging type is household packaging (HH) so packaging class can only be one of primary packaging (P1), shipment packaging (P3) or online marketplace total (P6)","Pecynwaith cartref (HH) yw'r math o becynwaith, felly un o blith pecynwaith sylfaenol (P1), pecynwaith cludo (P3) neu gyfanswm y farchnad ar-lein (P6) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_PB&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|null),org_id_placeholder,ABC123456,L,2023-P2,SO,PB,P1,GL,,,,101,,Error/Gwall,33,Packaging type is commonly ends up in public bins (PB) so packaging class can only be public bin (B1),Yn dod i ben yn gyffredin mewn biniau cyhoeddus (PB) yw'r math pecynwaith felly dim ond bin cyhoeddus (B1) all gael ei roi fel dosbarth pecynwaith.
,PackType_PB&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|null),org_id_placeholder,ABC123456,L,2023-P2,SO,PB,P2,GL,,,,101,,Error/Gwall,33,Packaging type is commonly ends up in public bins (PB) so packaging class can only be public bin (B1),Yn dod i ben yn gyffredin mewn biniau cyhoeddus (PB) yw'r math pecynwaith felly dim ond bin cyhoeddus (B1) all gael ei roi fel dosbarth pecynwaith.
,PackType_PB&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|null),org_id_placeholder,ABC123456,L,2023-P2,SO,PB,P3,GL,,,,101,,Error/Gwall,33,Packaging type is commonly ends up in public bins (PB) so packaging class can only be public bin (B1),Yn dod i ben yn gyffredin mewn biniau cyhoeddus (PB) yw'r math pecynwaith felly dim ond bin cyhoeddus (B1) all gael ei roi fel dosbarth pecynwaith.
,PackType_PB&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|null),org_id_placeholder,ABC123456,L,2023-P2,SO,PB,P4,GL,,,,101,,Error/Gwall,33,Packaging type is commonly ends up in public bins (PB) so packaging class can only be public bin (B1),Yn dod i ben yn gyffredin mewn biniau cyhoeddus (PB) yw'r math pecynwaith felly dim ond bin cyhoeddus (B1) all gael ei roi fel dosbarth pecynwaith.
,PackType_PB&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|null),org_id_placeholder,ABC123456,L,2023-P2,SO,PB,P5,GL,,,,101,,Error/Gwall,33,Packaging type is commonly ends up in public bins (PB) so packaging class can only be public bin (B1),Yn dod i ben yn gyffredin mewn biniau cyhoeddus (PB) yw'r math pecynwaith felly dim ond bin cyhoeddus (B1) all gael ei roi fel dosbarth pecynwaith.
,PackType_PB&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|null),org_id_placeholder,ABC123456,L,2023-P2,SO,PB,P6,GL,,,,101,,Error/Gwall,33,Packaging type is commonly ends up in public bins (PB) so packaging class can only be public bin (B1),Yn dod i ben yn gyffredin mewn biniau cyhoeddus (PB) yw'r math pecynwaith felly dim ond bin cyhoeddus (B1) all gael ei roi fel dosbarth pecynwaith.
,PackType_PB&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|null),org_id_placeholder,ABC123456,L,2023-P2,SO,PB,O1,GL,,,,101,,Error/Gwall,33,Packaging type is commonly ends up in public bins (PB) so packaging class can only be public bin (B1),Yn dod i ben yn gyffredin mewn biniau cyhoeddus (PB) yw'r math pecynwaith felly dim ond bin cyhoeddus (B1) all gael ei roi fel dosbarth pecynwaith.
,PackType_PB&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|null),org_id_placeholder,ABC123456,L,2023-P2,SO,PB,O2,GL,,,,101,,Error/Gwall,33,Packaging type is commonly ends up in public bins (PB) so packaging class can only be public bin (B1),Yn dod i ben yn gyffredin mewn biniau cyhoeddus (PB) yw'r math pecynwaith felly dim ond bin cyhoeddus (B1) all gael ei roi fel dosbarth pecynwaith.
,PackType_PB&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|null),org_id_placeholder,ABC123456,L,2023-P2,SO,PB,,GL,,,,101,,Error/Gwall,33,Packaging type is commonly ends up in public bins (PB) so packaging class can only be public bin (B1),Yn dod i ben yn gyffredin mewn biniau cyhoeddus (PB) yw'r math pecynwaith felly dim ond bin cyhoeddus (B1) all gael ei roi fel dosbarth pecynwaith.
,PackType_HDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,P1,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_HDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,P2,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_HDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,P3,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_HDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,P4,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_HDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,P5,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_HDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,P6,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_HDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,O1,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_HDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,O2,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_HDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,B1,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_NDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,BCD,L,2023-P2,SO,NDC,P1,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_NDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,BCD,L,2023-P2,SO,NDC,P2,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_NDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,BCD,L,2023-P2,SO,NDC,P3,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_NDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,BCD,L,2023-P2,SO,NDC,P4,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_NDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,BCD,L,2023-P2,SO,NDC,P5,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_NDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,BCD,L,2023-P2,SO,NDC,P6,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_NDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,BCD,L,2023-P2,SO,NDC,O1,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_NDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,BCD,L,2023-P2,SO,NDC,O2,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_NDC&PackClass_invalid(P1|P2|P3|P4|P5|P6|O1|O2|B1),org_id_placeholder,BCD,L,2023-P2,SO,NDC,B1,GL,,,,101,101,Error/Gwall,34,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so do not enter a packaging class,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly peidiwch â rhoi dosbarth pecynwaith"
,PackType_RU&PackClass_invalid(P2|P3|P4|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SO,RU,P2,GL,,,,101,,Error/Gwall,35,Packaging type is reusable packaging (RU) so packaging class can only be primary packaging (P1) or non-primary reusable packaging (P5),"Pecynwaith ailddefnyddiadwy (RU) yw'r math o becynwaith, felly pecynwaith sylfaenol (P1) neu becynwaith ailddefnyddiadwy nad yw'n becynwaith sylfaenol (P5) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_RU&PackClass_invalid(P2|P3|P4|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SO,RU,P3,GL,,,,101,,Error/Gwall,35,Packaging type is reusable packaging (RU) so packaging class can only be primary packaging (P1) or non-primary reusable packaging (P5),"Pecynwaith ailddefnyddiadwy (RU) yw'r math o becynwaith, felly pecynwaith sylfaenol (P1) neu becynwaith ailddefnyddiadwy nad yw'n becynwaith sylfaenol (P5) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_RU&PackClass_invalid(P2|P3|P4|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SO,RU,P4,GL,,,,101,,Error/Gwall,35,Packaging type is reusable packaging (RU) so packaging class can only be primary packaging (P1) or non-primary reusable packaging (P5),"Pecynwaith ailddefnyddiadwy (RU) yw'r math o becynwaith, felly pecynwaith sylfaenol (P1) neu becynwaith ailddefnyddiadwy nad yw'n becynwaith sylfaenol (P5) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_RU&PackClass_invalid(P2|P3|P4|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SO,RU,P6,GL,,,,101,,Error/Gwall,35,Packaging type is reusable packaging (RU) so packaging class can only be primary packaging (P1) or non-primary reusable packaging (P5),"Pecynwaith ailddefnyddiadwy (RU) yw'r math o becynwaith, felly pecynwaith sylfaenol (P1) neu becynwaith ailddefnyddiadwy nad yw'n becynwaith sylfaenol (P5) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_RU&PackClass_invalid(P2|P3|P4|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SO,RU,O1,GL,,,,101,,Error/Gwall,35,Packaging type is reusable packaging (RU) so packaging class can only be primary packaging (P1) or non-primary reusable packaging (P5),"Pecynwaith ailddefnyddiadwy (RU) yw'r math o becynwaith, felly pecynwaith sylfaenol (P1) neu becynwaith ailddefnyddiadwy nad yw'n becynwaith sylfaenol (P5) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_RU&PackClass_invalid(P2|P3|P4|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SO,RU,O2,GL,,,,101,,Error/Gwall,35,Packaging type is reusable packaging (RU) so packaging class can only be primary packaging (P1) or non-primary reusable packaging (P5),"Pecynwaith ailddefnyddiadwy (RU) yw'r math o becynwaith, felly pecynwaith sylfaenol (P1) neu becynwaith ailddefnyddiadwy nad yw'n becynwaith sylfaenol (P5) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_RU&PackClass_invalid(P2|P3|P4|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SO,RU,B1,GL,,,,101,,Error/Gwall,35,Packaging type is reusable packaging (RU) so packaging class can only be primary packaging (P1) or non-primary reusable packaging (P5),"Pecynwaith ailddefnyddiadwy (RU) yw'r math o becynwaith, felly pecynwaith sylfaenol (P1) neu becynwaith ailddefnyddiadwy nad yw'n becynwaith sylfaenol (P5) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_RU&PackClass_invalid(P2|P3|P4|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SO,RU,,GL,,,,101,,Error/Gwall,35,Packaging type is reusable packaging (RU) so packaging class can only be primary packaging (P1) or non-primary reusable packaging (P5),"Pecynwaith ailddefnyddiadwy (RU) yw'r math o becynwaith, felly pecynwaith sylfaenol (P1) neu becynwaith ailddefnyddiadwy nad yw'n becynwaith sylfaenol (P5) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_HDC&PackMaterial_invalid(WD|PC|FC|OT),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,,WD,,,,101,101,Error/Gwall,37,"Packaging material for household drinks containers (HDC) and non-household drinks containers (NDC) must be one of aluminium (AL), glass (GL), plastic (PL) or steel (ST)","Rhaid i'r deunydd pecynwaith ar gyfer cynwysyddion diodydd cartref (HDC) a chynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) fod yn un o blith alwminiwm (AL), gwydr (GL), plastig (PL) neu ddur (ST)"
,PackType_HDC&PackMaterial_invalid(WD|PC|FC|OT),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,,PC,,,,101,101,Error/Gwall,37,"Packaging material for household drinks containers (HDC) and non-household drinks containers (NDC) must be one of aluminium (AL), glass (GL), plastic (PL) or steel (ST)","Rhaid i'r deunydd pecynwaith ar gyfer cynwysyddion diodydd cartref (HDC) a chynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) fod yn un o blith alwminiwm (AL), gwydr (GL), plastig (PL) neu ddur (ST)"
,PackType_HDC&PackMaterial_invalid(WD|PC|FC|OT),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,,FC,,,,101,101,Error/Gwall,37,"Packaging material for household drinks containers (HDC) and non-household drinks containers (NDC) must be one of aluminium (AL), glass (GL), plastic (PL) or steel (ST)","Rhaid i'r deunydd pecynwaith ar gyfer cynwysyddion diodydd cartref (HDC) a chynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) fod yn un o blith alwminiwm (AL), gwydr (GL), plastig (PL) neu ddur (ST)"
,PackType_HDC&PackMaterial_invalid(WD|PC|FC|OT),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,,OT,ceramic,,,101,101,Error/Gwall,37,"Packaging material for household drinks containers (HDC) and non-household drinks containers (NDC) must be one of aluminium (AL), glass (GL), plastic (PL) or steel (ST)","Rhaid i'r deunydd pecynwaith ar gyfer cynwysyddion diodydd cartref (HDC) a chynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) fod yn un o blith alwminiwm (AL), gwydr (GL), plastig (PL) neu ddur (ST)"
,PackType_NDC&PackMaterial_invalid(WD|PC|FC|OT),org_id_placeholder,BCD,L,2023-P2,SO,NDC,,WD,,,,101,101,Error/Gwall,37,"Packaging material for household drinks containers (HDC) and non-household drinks containers (NDC) must be one of aluminium (AL), glass (GL), plastic (PL) or steel (ST)","Rhaid i'r deunydd pecynwaith ar gyfer cynwysyddion diodydd cartref (HDC) a chynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) fod yn un o blith alwminiwm (AL), gwydr (GL), plastig (PL) neu ddur (ST)"
,PackType_NDC&PackMaterial_invalid(WD|PC|FC|OT),org_id_placeholder,BCD,L,2023-P2,SO,NDC,,PC,,,,101,101,Error/Gwall,37,"Packaging material for household drinks containers (HDC) and non-household drinks containers (NDC) must be one of aluminium (AL), glass (GL), plastic (PL) or steel (ST)","Rhaid i'r deunydd pecynwaith ar gyfer cynwysyddion diodydd cartref (HDC) a chynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) fod yn un o blith alwminiwm (AL), gwydr (GL), plastig (PL) neu ddur (ST)"
,PackType_NDC&PackMaterial_invalid(WD|PC|FC|OT),org_id_placeholder,BCD,L,2023-P2,SO,NDC,,FC,,,,101,101,Error/Gwall,37,"Packaging material for household drinks containers (HDC) and non-household drinks containers (NDC) must be one of aluminium (AL), glass (GL), plastic (PL) or steel (ST)","Rhaid i'r deunydd pecynwaith ar gyfer cynwysyddion diodydd cartref (HDC) a chynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) fod yn un o blith alwminiwm (AL), gwydr (GL), plastig (PL) neu ddur (ST)"
,PackType_NDC&PackMaterial_invalid(WD|PC|FC|OT),org_id_placeholder,BCD,L,2023-P2,SO,NDC,,OT,ceramic,,,101,101,Error/Gwall,37,"Packaging material for household drinks containers (HDC) and non-household drinks containers (NDC) must be one of aluminium (AL), glass (GL), plastic (PL) or steel (ST)","Rhaid i'r deunydd pecynwaith ar gyfer cynwysyddion diodydd cartref (HDC) a chynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) fod yn un o blith alwminiwm (AL), gwydr (GL), plastig (PL) neu ddur (ST)"
,PackType_not_NDC|HDC&QuantityUnits_Completed,org_id_placeholder,ABC123456,L,2023-P2,,CW,O1,PL,,SC,,101,101,Error/Gwall,38,Packaging material units not needed for this packaging type,Does dim angen unedau deunydd pecynwaith ar gyfer y math yma o ddeunydd pecynwaith
